time,open,high,low,close,tick_volume,spread,real_volume
2023-01-16 16:00:00+00:00,156.585,156.923,156.517,156.737,9851,9,0
2023-01-16 17:00:00+00:00,156.737,156.91,156.646,156.863,7417,9,0
2023-01-16 18:00:00+00:00,156.869,156.988,156.761,156.96,6251,9,0
2023-01-16 19:00:00+00:00,156.96,157.038,156.892,156.901,5596,9,0
2023-01-16 20:00:00+00:00,156.901,156.906,156.662,156.709,2587,9,0
2023-01-16 21:00:00+00:00,156.709,156.773,156.638,156.772,2628,9,0
2023-01-16 22:00:00+00:00,156.772,156.816,156.72,156.752,2415,9,0
2023-01-16 23:00:00+00:00,156.756,156.758,156.633,156.748,2916,9,0
2023-01-17 00:00:00+00:00,156.708,156.728,156.566,156.634,1287,69,0
2023-01-17 01:00:00+00:00,156.634,156.742,156.376,156.674,7014,9,0
2023-01-17 02:00:00+00:00,156.674,156.948,156.58,156.614,8768,9,0
2023-01-17 03:00:00+00:00,156.614,157.136,156.584,156.977,11669,9,0
2023-01-17 04:00:00+00:00,156.977,157.236,156.922,157.186,10294,9,0
2023-01-17 05:00:00+00:00,157.186,157.2,156.903,156.982,6907,9,0
2023-01-17 06:00:00+00:00,156.982,157.022,156.863,156.891,6103,10,0
2023-01-17 07:00:00+00:00,156.891,156.974,156.833,156.96,6784,9,0
2023-01-17 08:00:00+00:00,156.956,157.169,156.813,156.905,8638,9,0
2023-01-17 09:00:00+00:00,156.905,157.323,156.861,157.24,12490,9,0
2023-01-17 10:00:00+00:00,157.24,157.28,156.867,156.891,14056,9,0
2023-01-17 11:00:00+00:00,156.891,157.375,156.889,157.216,10491,9,0
2023-01-17 12:00:00+00:00,157.217,157.516,157.165,157.412,11739,9,0
2023-01-17 13:00:00+00:00,157.412,157.837,157.362,157.712,10361,9,0
2023-01-17 14:00:00+00:00,157.712,157.821,157.424,157.572,12074,9,0
2023-01-17 15:00:00+00:00,157.572,157.703,157.202,157.691,14860,9,0
2023-01-17 16:00:00+00:00,157.691,157.857,157.496,157.667,16061,9,0
2023-01-17 17:00:00+00:00,157.667,158.031,157.275,157.343,18766,9,0
2023-01-17 18:00:00+00:00,157.343,157.393,157.061,157.17,13648,9,0
2023-01-17 19:00:00+00:00,157.165,157.268,157.072,157.247,7928,9,0
2023-01-17 20:00:00+00:00,157.247,157.455,157.217,157.43,4925,10,0
2023-01-17 21:00:00+00:00,157.43,157.545,157.332,157.518,8202,9,0
2023-01-17 22:00:00+00:00,157.518,157.532,157.392,157.423,6844,9,0
2023-01-17 23:00:00+00:00,157.423,157.576,157.396,157.475,3982,9,0
2023-01-18 00:00:00+00:00,157.335,157.565,157.188,157.5,2807,66,0
2023-01-18 01:00:00+00:00,157.5,157.604,157.441,157.565,4831,11,0
2023-01-18 02:00:00+00:00,157.565,158.147,157.474,158.112,9765,9,0
2023-01-18 03:00:00+00:00,158.112,158.374,157.854,157.933,9491,9,0
2023-01-18 04:00:00+00:00,157.933,160.32,157.666,160.197,14064,9,0
2023-01-18 05:00:00+00:00,160.197,161.002,160.112,160.872,16662,9,0
2023-01-18 06:00:00+00:00,160.873,161.444,160.834,161.308,9639,9,0
2023-01-18 07:00:00+00:00,161.308,161.522,160.564,160.659,10428,9,0
2023-01-18 08:00:00+00:00,160.659,161.2,160.468,160.678,12123,9,0
2023-01-18 09:00:00+00:00,160.678,161.177,160.358,160.4,18808,9,0
2023-01-18 10:00:00+00:00,160.401,160.507,159.825,159.988,17429,9,0
2023-01-18 11:00:00+00:00,159.991,160.12,159.347,159.908,15829,9,0
2023-01-18 12:00:00+00:00,159.908,160.081,159.31,159.515,14133,9,0
2023-01-18 13:00:00+00:00,159.515,160.039,159.41,159.574,12924,9,0
2023-01-18 14:00:00+00:00,159.574,159.743,159.389,159.652,12756,9,0
2023-01-18 15:00:00+00:00,159.652,159.755,158.802,158.807,10673,9,0
2023-01-18 16:00:00+00:00,158.809,159.105,158.591,159.024,6178,9,0
2023-01-18 17:00:00+00:00,159.028,159.252,158.72,159.089,9979,9,0
2023-01-18 18:00:00+00:00,159.089,159.113,158.768,158.866,15338,9,0
2023-01-18 19:00:00+00:00,158.866,159.152,158.789,159.022,12455,9,0
2023-01-18 20:00:00+00:00,159.022,159.028,158.701,158.863,11287,9,0
2023-01-18 21:00:00+00:00,158.863,158.929,158.765,158.814,9798,9,0
2023-01-18 22:00:00+00:00,158.814,159.007,158.813,158.986,8117,9,0
2023-01-18 23:00:00+00:00,158.986,159.136,158.922,159.117,5696,8,0
2023-01-19 00:00:00+00:00,159.118,159.159,158.767,158.966,2482,57,0
2023-01-19 01:00:00+00:00,158.966,159.053,158.575,158.712,8464,9,0
2023-01-19 02:00:00+00:00,158.712,158.712,158.107,158.215,10897,9,0
2023-01-19 03:00:00+00:00,158.215,158.648,158.17,158.607,10979,9,0
2023-01-19 04:00:00+00:00,158.607,158.616,158.302,158.343,6785,9,0
2023-01-19 05:00:00+00:00,158.343,158.412,158.131,158.232,7493,9,0
2023-01-19 06:00:00+00:00,158.232,158.237,157.773,157.874,7571,9,0
2023-01-19 07:00:00+00:00,157.874,157.901,157.563,157.804,8669,9,0
2023-01-19 08:00:00+00:00,157.804,157.884,157.677,157.73,9309,9,0
2023-01-19 09:00:00+00:00,157.73,158.184,157.653,158.084,13209,9,0
2023-01-19 10:00:00+00:00,158.084,158.336,158.006,158.056,12679,9,0
2023-01-19 11:00:00+00:00,158.056,158.377,158.047,158.305,11746,9,0
2023-01-19 12:00:00+00:00,158.304,158.67,158.258,158.532,12240,9,0
2023-01-19 13:00:00+00:00,158.532,158.902,158.412,158.87,11710,9,0
2023-01-19 14:00:00+00:00,158.87,158.895,158.529,158.629,10073,9,0
2023-01-19 15:00:00+00:00,158.631,158.793,158.378,158.539,10672,9,0
2023-01-19 16:00:00+00:00,158.539,158.617,158.41,158.536,5508,9,0
2023-01-19 17:00:00+00:00,158.54,158.803,158.491,158.752,5354,9,0
2023-01-19 18:00:00+00:00,158.75,159.023,158.704,158.857,4719,9,0
2023-01-19 19:00:00+00:00,158.854,159.088,158.848,159.057,3902,9,0
2023-01-19 20:00:00+00:00,159.058,159.13,158.974,159.021,4075,9,0
2023-01-19 21:00:00+00:00,159.022,159.174,159.022,159.16,4191,9,0
2023-01-19 22:00:00+00:00,159.16,159.214,159.016,159.093,7703,9,0
2023-01-19 23:00:00+00:00,159.093,159.162,159.043,159.159,5852,9,0
