time,open,high,low,close,tick_volume,spread,real_volume
2023-01-16 16:00:00+00:00,128.419,128.522,128.361,128.462,7842,13,0
2023-01-16 17:00:00+00:00,128.462,128.559,128.393,128.525,6488,13,0
2023-01-16 18:00:00+00:00,128.526,128.661,128.427,128.576,4830,13,0
2023-01-16 19:00:00+00:00,128.576,128.758,128.574,128.704,3646,13,0
2023-01-16 20:00:00+00:00,128.703,128.713,128.575,128.581,2836,13,0
2023-01-16 21:00:00+00:00,128.582,128.6,128.495,128.555,2484,13,0
2023-01-16 22:00:00+00:00,128.555,128.574,128.505,128.535,1716,13,0
2023-01-16 23:00:00+00:00,128.538,128.548,128.428,128.511,4007,13,0
2023-01-17 00:00:00+00:00,128.472,128.508,128.375,128.426,2007,18,0
2023-01-17 01:00:00+00:00,128.426,128.482,128.204,128.334,5610,13,0
2023-01-17 02:00:00+00:00,128.334,128.557,128.31,128.404,9020,13,0
2023-01-17 03:00:00+00:00,128.404,128.95,128.296,128.797,10482,13,0
2023-01-17 04:00:00+00:00,128.797,129.156,128.657,128.98,9674,13,0
2023-01-17 05:00:00+00:00,128.98,128.997,128.723,128.768,6874,13,0
2023-01-17 06:00:00+00:00,128.768,128.818,128.617,128.661,6337,13,0
2023-01-17 07:00:00+00:00,128.661,128.718,128.569,128.641,5602,13,0
2023-01-17 08:00:00+00:00,128.64,128.957,128.522,128.916,7927,13,0
2023-01-17 09:00:00+00:00,128.916,129.018,128.663,128.725,11359,13,0
2023-01-17 10:00:00+00:00,128.725,128.759,128.378,128.452,12022,13,0
2023-01-17 11:00:00+00:00,128.452,128.808,128.448,128.779,9052,13,0
2023-01-17 12:00:00+00:00,128.779,129.115,128.63,128.873,9722,13,0
2023-01-17 13:00:00+00:00,128.873,128.965,128.665,128.699,8276,13,0
2023-01-17 14:00:00+00:00,128.699,128.79,128.315,128.551,11181,13,0
2023-01-17 15:00:00+00:00,128.552,128.779,128.374,128.704,12977,13,0
2023-01-17 16:00:00+00:00,128.703,128.714,128.236,128.285,14708,13,0
2023-01-17 17:00:00+00:00,128.285,128.634,128.122,128.14,18415,13,0
2023-01-17 18:00:00+00:00,128.139,128.28,127.984,128.177,11105,13,0
2023-01-17 19:00:00+00:00,128.177,128.317,128.087,128.239,6136,13,0
2023-01-17 20:00:00+00:00,128.238,128.407,128.218,128.393,4318,13,0
2023-01-17 21:00:00+00:00,128.392,128.439,128.172,128.332,6520,13,0
2023-01-17 22:00:00+00:00,128.332,128.34,128.164,128.201,4421,13,0
2023-01-17 23:00:00+00:00,128.201,128.278,128.101,128.15,2890,13,0
2023-01-18 00:00:00+00:00,128.022,128.226,127.996,128.205,3878,22,0
2023-01-18 01:00:00+00:00,128.205,128.293,128.175,128.278,4285,13,0
2023-01-18 02:00:00+00:00,128.278,128.897,128.214,128.845,9773,13,0
2023-01-18 03:00:00+00:00,128.843,129.035,128.507,128.559,8936,13,0
2023-01-18 04:00:00+00:00,128.559,130.801,128.367,130.527,15024,13,0
2023-01-18 05:00:00+00:00,130.527,131.247,130.417,131.133,18042,13,0
2023-01-18 06:00:00+00:00,131.133,131.57,131.084,131.335,11703,13,0
2023-01-18 07:00:00+00:00,131.335,131.532,130.771,130.807,11223,13,0
2023-01-18 08:00:00+00:00,130.807,131.222,130.524,130.728,14423,13,0
2023-01-18 09:00:00+00:00,130.726,130.919,130.049,130.247,18910,13,0
2023-01-18 10:00:00+00:00,130.247,130.311,129.598,129.659,18078,13,0
2023-01-18 11:00:00+00:00,129.658,129.897,129.194,129.385,15671,13,0
2023-01-18 12:00:00+00:00,129.385,129.582,129.053,129.178,13689,13,0
2023-01-18 13:00:00+00:00,129.177,129.391,128.833,128.983,12940,13,0
2023-01-18 14:00:00+00:00,128.983,129.236,128.882,129.071,11480,13,0
2023-01-18 15:00:00+00:00,129.071,129.138,128.009,128.116,10557,13,0
2023-01-18 16:00:00+00:00,128.12,128.283,127.561,128.122,5757,13,0
2023-01-18 17:00:00+00:00,128.124,128.435,128.01,128.36,8402,13,0
2023-01-18 18:00:00+00:00,128.36,128.606,128.215,128.454,13768,13,0
2023-01-18 19:00:00+00:00,128.454,128.949,128.449,128.809,10169,13,0
2023-01-18 20:00:00+00:00,128.809,128.841,128.597,128.767,9668,13,0
2023-01-18 21:00:00+00:00,128.767,128.89,128.661,128.685,7370,13,0
2023-01-18 22:00:00+00:00,128.684,128.862,128.684,128.859,6570,13,0
2023-01-18 23:00:00+00:00,128.859,128.915,128.766,128.903,4192,13,0
2023-01-19 00:00:00+00:00,128.854,128.886,128.563,128.745,1517,22,0
2023-01-19 01:00:00+00:00,128.745,128.836,128.436,128.546,6993,13,0
2023-01-19 02:00:00+00:00,128.546,128.597,128.274,128.419,11437,13,0
2023-01-19 03:00:00+00:00,128.423,128.687,128.3,128.571,9892,13,0
2023-01-19 04:00:00+00:00,128.571,128.628,128.359,128.421,7331,13,0
2023-01-19 05:00:00+00:00,128.421,128.437,128.144,128.283,6820,13,0
2023-01-19 06:00:00+00:00,128.283,128.287,127.897,128.018,6815,13,0
2023-01-19 07:00:00+00:00,128.018,128.063,127.756,127.974,7235,13,0
2023-01-19 08:00:00+00:00,127.974,128.032,127.756,127.952,7707,13,0
2023-01-19 09:00:00+00:00,127.952,128.243,127.889,128.173,11051,13,0
2023-01-19 10:00:00+00:00,128.172,128.333,128.08,128.187,10205,13,0
2023-01-19 11:00:00+00:00,128.185,128.395,128.185,128.316,8379,13,0
2023-01-19 12:00:00+00:00,128.315,128.658,128.3,128.499,9391,13,0
2023-01-19 13:00:00+00:00,128.498,128.715,128.425,128.609,8753,13,0
2023-01-19 14:00:00+00:00,128.609,128.653,128.374,128.626,9189,13,0
2023-01-19 15:00:00+00:00,128.626,128.816,128.35,128.378,10588,13,0
2023-01-19 16:00:00+00:00,128.377,128.492,128.226,128.341,4738,13,0
2023-01-19 17:00:00+00:00,128.343,128.617,128.289,128.453,4160,13,0
2023-01-19 18:00:00+00:00,128.453,128.585,128.404,128.476,3432,13,0
2023-01-19 19:00:00+00:00,128.473,128.615,128.38,128.56,2827,13,0
2023-01-19 20:00:00+00:00,128.559,128.624,128.392,128.437,2928,13,0
2023-01-19 21:00:00+00:00,128.438,128.529,128.346,128.442,3216,13,0
2023-01-19 22:00:00+00:00,128.443,128.473,128.292,128.428,5895,13,0
2023-01-19 23:00:00+00:00,128.428,128.444,128.351,128.413,4418,13,0
2023-01-20 00:00:00+00:00,128.411,128.423,128.361,128.406,1629,18,0
2023-01-20 01:00:00+00:00,128.406,128.476,128.347,128.368,5782,13,0
2023-01-20 02:00:00+00:00,128.368,128.68,128.345,128.628,8711,13,0
2023-01-20 03:00:00+00:00,128.628,128.884,128.522,128.833,8105,13,0
2023-01-20 04:00:00+00:00,128.833,128.888,128.721,128.75,6516,13,0
2023-01-20 05:00:00+00:00,128.75,128.814,128.697,128.81,4063,13,0
2023-01-20 06:00:00+00:00,128.81,129.11,128.809,129.045,6274,13,0
2023-01-20 07:00:00+00:00,129.048,129.292,128.991,129.165,7889,13,0
2023-01-20 08:00:00+00:00,129.165,129.177,129.015,129.161,6207,13,0
2023-01-20 09:00:00+00:00,129.161,129.175,128.771,128.878,10860,13,0
2023-01-20 10:00:00+00:00,128.878,129.248,128.72,129.219,11085,13,0
2023-01-20 11:00:00+00:00,129.219,129.487,129.158,129.461,10185,13,0
2023-01-20 12:00:00+00:00,129.461,129.73,129.173,129.626,11678,13,0
2023-01-20 13:00:00+00:00,129.626,129.957,129.509,129.91,8994,13,0
2023-01-20 14:00:00+00:00,129.91,130.277,129.85,130.105,10981,13,0
2023-01-20 15:00:00+00:00,130.105,130.603,130.034,130.597,12712,13,0
