time,open,high,low,close,tick_volume,spread,real_volume
2025-01-02 01:00:00+00:00,28.902,28.99,28.881,28.986,708,22,0
2025-01-02 02:00:00+00:00,28.986,29.024,28.958,29.008,1042,17,0
2025-01-02 03:00:00+00:00,29.008,29.304,28.995,29.212,3713,16,0
2025-01-02 04:00:00+00:00,29.212,29.315,29.202,29.306,2365,16,0
2025-01-02 05:00:00+00:00,29.306,29.322,29.22,29.276,1739,16,0
2025-01-02 06:00:00+00:00,29.276,29.327,29.269,29.322,1129,16,0
2025-01-02 07:00:00+00:00,29.322,29.361,29.301,29.34,1683,16,0
2025-01-02 08:00:00+00:00,29.339,29.392,29.286,29.384,2048,16,0
2025-01-02 09:00:00+00:00,29.385,29.392,29.283,29.295,1598,17,0
2025-01-02 10:00:00+00:00,29.298,29.323,29.156,29.27,2273,18,0
2025-01-02 11:00:00+00:00,29.275,29.354,29.272,29.291,1688,15,0
2025-01-02 12:00:00+00:00,29.291,29.433,29.264,29.389,2305,15,0
2025-01-02 13:00:00+00:00,29.389,29.437,29.366,29.415,1847,15,0
2025-01-02 14:00:00+00:00,29.414,29.443,29.386,29.407,1885,15,0
2025-01-02 15:00:00+00:00,29.407,29.407,29.172,29.301,3474,15,0
2025-01-02 16:00:00+00:00,29.304,29.526,29.262,29.38,4183,15,0
2025-01-02 17:00:00+00:00,29.377,29.505,29.312,29.455,4810,15,0
2025-01-02 18:00:00+00:00,29.448,29.582,29.384,29.571,3320,15,0
2025-01-02 19:00:00+00:00,29.57,29.587,29.405,29.504,2968,15,0
2025-01-02 20:00:00+00:00,29.501,29.557,29.377,29.428,2788,15,0
2025-01-02 21:00:00+00:00,29.427,29.468,29.398,29.425,2142,15,0
2025-01-02 22:00:00+00:00,29.424,29.576999999999998,29.414,29.554,1955,15,0
2025-01-02 23:00:00+00:00,29.553,29.584,29.533,29.555,591,15,0
2025-01-03 01:00:00+00:00,29.556,29.556,29.514,29.536,662,16,0
2025-01-03 02:00:00+00:00,29.536,29.595,29.534,29.593,810,16,0
2025-01-03 03:00:00+00:00,29.59,29.636,29.488,29.537,2618,16,0
2025-01-03 04:00:00+00:00,29.537,29.623,29.501,29.596,2508,16,0
2025-01-03 05:00:00+00:00,29.595,29.635,29.572,29.592,1586,16,0
2025-01-03 06:00:00+00:00,29.592,29.613,29.578,29.606,731,16,0
2025-01-03 07:00:00+00:00,29.606,29.609,29.504,29.563,1641,16,0
2025-01-03 08:00:00+00:00,29.562,29.614,29.549,29.607,1644,16,0
2025-01-03 09:00:00+00:00,29.604,29.64,29.528,29.615,2190,15,0
2025-01-03 10:00:00+00:00,29.617,29.687,29.559,29.596,2115,15,0
2025-01-03 11:00:00+00:00,29.596,29.768,29.596,29.686,2114,15,0
2025-01-03 12:00:00+00:00,29.687,29.748,29.67,29.735,1675,15,0
2025-01-03 13:00:00+00:00,29.733,29.815,29.733,29.799,1584,15,0
2025-01-03 14:00:00+00:00,29.799,29.805,29.744,29.781,1315,15,0
2025-01-03 15:00:00+00:00,29.781,29.863,29.677,29.853,3049,15,0
2025-01-03 16:00:00+00:00,29.853,29.891,29.771,29.837,3986,15,0
2025-01-03 17:00:00+00:00,29.818,29.862,29.656,29.761,4664,15,0
2025-01-03 18:00:00+00:00,29.757,29.842,29.675,29.696,3438,15,0
2025-01-03 19:00:00+00:00,29.697,29.717,29.538,29.561,2198,15,0
2025-01-03 20:00:00+00:00,29.561,29.671,29.545,29.667,1937,15,0
2025-01-03 21:00:00+00:00,29.662,29.71,29.615,29.62,1361,15,0
2025-01-03 22:00:00+00:00,29.62,29.621,29.573,29.601,1156,15,0
2025-01-03 23:00:00+00:00,29.6,29.63,29.596,29.622,462,15,0
2025-01-06 01:00:00+00:00,29.606,29.672,29.587,29.628,775,18,0
2025-01-06 02:00:00+00:00,29.628,29.7,29.61,29.676,1183,16,0
2025-01-06 03:00:00+00:00,29.68,29.744,29.615,29.628,2816,16,0
2025-01-06 04:00:00+00:00,29.628,29.711,29.591,29.701999999999998,2265,16,0
2025-01-06 05:00:00+00:00,29.701999999999998,29.707,29.568,29.573,1625,16,0
2025-01-06 06:00:00+00:00,29.572,29.618,29.545,29.55,1235,16,0
2025-01-06 07:00:00+00:00,29.55,29.581,29.401,29.497,1926,16,0
2025-01-06 08:00:00+00:00,29.497,29.609,29.494,29.554,2281,16,0
2025-01-06 09:00:00+00:00,29.555,29.647,29.549,29.604,1886,15,0
2025-01-06 10:00:00+00:00,29.595,29.779,29.571,29.765,1911,15,0
2025-01-06 11:00:00+00:00,29.761,29.795,29.727,29.763,1602,15,0
2025-01-06 12:00:00+00:00,29.763,29.772,29.723,29.735,1366,15,0
2025-01-06 13:00:00+00:00,29.737,30.288,29.723,30.268,4089,15,0
2025-01-06 14:00:00+00:00,30.266,30.326,30.119,30.268,3235,15,0
2025-01-06 15:00:00+00:00,30.266,30.339,29.822,29.874,5314,15,0
2025-01-06 16:00:00+00:00,29.879,30.016,29.557,29.961,5789,15,0
2025-01-06 17:00:00+00:00,29.961,30.162,29.961,30.065,4923,15,0
2025-01-06 18:00:00+00:00,30.069,30.16,30.022,30.126,3023,15,0
2025-01-06 19:00:00+00:00,30.126,30.166,29.995,30.042,2426,15,0
2025-01-06 20:00:00+00:00,30.038,30.07,29.944,29.949,2445,15,0
2025-01-06 21:00:00+00:00,29.949,29.97,29.901,29.935,1808,15,0
2025-01-06 22:00:00+00:00,29.934,29.954,29.867,29.886,1656,15,0
2025-01-06 23:00:00+00:00,29.886,29.959,29.886,29.934,532,15,0
2025-01-07 01:00:00+00:00,29.903,29.946,29.9,29.931,627,16,0
2025-01-07 02:00:00+00:00,29.934,29.941,29.874,29.932,860,16,0
2025-01-07 03:00:00+00:00,29.931,30.084,29.915,30.04,2613,16,0
2025-01-07 04:00:00+00:00,30.04,30.073,29.968,29.982,1751,16,0
2025-01-07 05:00:00+00:00,29.982,30.065,29.961,30.063,1410,16,0
2025-01-07 06:00:00+00:00,30.063,30.067,30.024,30.025,817,16,0
