time,open,high,low,close,tick_volume,spread,real_volume
2025-06-02 01:00:00+00:00,33.017,33.072,32.99,33.051,577,22,0
2025-06-02 01:15:00+00:00,33.051,33.07,33.033,33.05,267,22,0
2025-06-02 01:30:00+00:00,33.048,33.07,33.041,33.06,220,22,0
2025-06-02 01:45:00+00:00,33.06,33.126,33.058,33.085,288,23,0
2025-06-02 02:00:00+00:00,33.086,33.121,33.071,33.1,277,22,0
2025-06-02 02:15:00+00:00,33.1,33.11,33.081,33.087,237,22,0
2025-06-02 02:30:00+00:00,33.083,33.106,33.077,33.086,238,22,0
2025-06-02 02:45:00+00:00,33.086,33.095,33.057,33.068,260,22,0
2025-06-02 03:00:00+00:00,33.065,33.123,33.065,33.112,404,22,0
2025-06-02 03:15:00+00:00,33.112,33.117,33.083,33.105,364,22,0
2025-06-02 03:30:00+00:00,33.106,33.107,32.996,33.045,431,22,0
2025-06-02 03:45:00+00:00,33.045,33.077,33.042,33.077,315,22,0
2025-06-02 04:00:00+00:00,33.076,33.115,33.063,33.101,306,22,0
2025-06-02 04:15:00+00:00,33.101,33.116,33.067,33.087,355,22,0
2025-06-02 04:30:00+00:00,33.087,33.1,33.025,33.043,493,22,0
2025-06-02 04:45:00+00:00,33.043,33.052,32.96,32.963,450,22,0
2025-06-02 05:00:00+00:00,32.963,33.038,32.963,33.037,372,22,0
2025-06-02 05:15:00+00:00,33.035,33.075,32.996,33.005,369,22,0
2025-06-02 05:30:00+00:00,33.006,33.045,33.0,33.015,259,22,0
2025-06-02 05:45:00+00:00,33.016,33.036,32.949,33.027,289,22,0
2025-06-02 06:00:00+00:00,33.023,33.057,32.999,33.023,320,22,0
2025-06-02 06:15:00+00:00,33.022,33.05,32.999,33.001,271,22,0
2025-06-02 06:30:00+00:00,33.001,33.001,32.958,32.976,337,22,0
2025-06-02 06:45:00+00:00,32.976,33.046,32.971,33.024,317,22,0
2025-06-02 07:00:00+00:00,33.029,33.108,33.027,33.083,299,22,0
2025-06-02 07:15:00+00:00,33.083,33.112,33.077,33.093,229,22,0
2025-06-02 07:30:00+00:00,33.093,33.129,33.086,33.121,299,22,0
2025-06-02 07:45:00+00:00,33.121,33.122,33.085,33.086,294,22,0
2025-06-02 08:00:00+00:00,33.086,33.118,33.081,33.107,306,22,0
2025-06-02 08:15:00+00:00,33.107,33.13,33.086,33.112,300,22,0
2025-06-02 08:30:00+00:00,33.108,33.141,33.078,33.132,351,22,0
2025-06-02 08:45:00+00:00,33.134,33.16,33.127,33.153,381,22,0
2025-06-02 09:00:00+00:00,33.154,33.179,33.138,33.138,363,19,0
2025-06-02 09:15:00+00:00,33.138,33.202,33.132,33.198,399,19,0
2025-06-02 09:30:00+00:00,33.198,33.211,33.183,33.21,408,19,0
2025-06-02 09:45:00+00:00,33.21,33.217,33.166,33.197,380,19,0
2025-06-02 10:00:00+00:00,33.203,33.345,33.201,33.329,587,19,0
2025-06-02 10:15:00+00:00,33.333,33.52,33.333,33.422,863,23,0
2025-06-02 10:30:00+00:00,33.428,33.521,33.416,33.476,652,19,0
2025-06-02 10:45:00+00:00,33.477,33.562,33.384,33.415,784,20,0
2025-06-02 11:00:00+00:00,33.415,33.499,33.406,33.411,594,19,0
2025-06-02 11:15:00+00:00,33.411,33.433,33.378,33.411,474,19,0
2025-06-02 11:30:00+00:00,33.411,33.431,33.379,33.41,418,19,0
2025-06-02 11:45:00+00:00,33.41,33.447,33.39,33.396,335,19,0
2025-06-02 12:00:00+00:00,33.396,33.412,33.339,33.359,429,20,0
2025-06-02 12:15:00+00:00,33.354,33.404,33.327,33.333,405,19,0
2025-06-02 12:30:00+00:00,33.335,33.339,33.265,33.268,508,19,0
2025-06-02 12:45:00+00:00,33.268,33.307,33.234,33.305,439,19,0
2025-06-02 13:00:00+00:00,33.311,33.323,33.231,33.257,441,19,0
2025-06-02 13:15:00+00:00,33.259,33.291,33.229,33.245,430,19,0
2025-06-02 13:30:00+00:00,33.245,33.27,33.183,33.234,461,19,0
2025-06-02 13:45:00+00:00,33.234,33.304,33.219,33.296,516,19,0
2025-06-02 14:00:00+00:00,33.282,33.282,33.23,33.269,472,18,0
2025-06-02 14:15:00+00:00,33.27,33.31,33.269,33.275,407,18,0
2025-06-02 14:30:00+00:00,33.275,33.339,33.254,33.26,477,18,0
2025-06-02 14:45:00+00:00,33.26,33.309,33.208,33.28,619,18,0
2025-06-02 15:00:00+00:00,33.28,33.389,33.265,33.371,645,18,0
