smartmoneyconcepts not installed — SMC confluence disabled
2026-04-11 00:29:04 [INFO    ] backtest_scalping              Loading primary M5 data from data/backtest_cache/US30_M5_all.csv
2026-04-11 00:29:04 [INFO    ] src.backtesting.data_loader    Loaded 13423 bars from data/backtest_cache/US30_M5_all.csv (2026-01-29 05:00:00+00:00 → 2026-04-10 18:00:00+00:00)
2026-04-11 00:29:04 [INFO    ] backtest_scalping              Primary data: 13423 bars after date filter
2026-04-11 00:29:04 [INFO    ] src.backtesting.data_loader    Loaded 13306 bars from data/backtest_cache/US30_H1_mt5_2yr.csv (2024-01-02 01:00:00+00:00 → 2026-04-10 21:00:00+00:00)
2026-04-11 00:29:04 [INFO    ] backtest_scalping              Instrument US30: point_size=0.01, tick_value=0.1
2026-04-11 00:29:04 [INFO    ] src.analysis.news_filter       Loaded 64 default news events (FOMC + NFP + CPI)
2026-04-11 00:29:04 [INFO    ] backtest_scalping              Running strategy: m5_vwap_mean_reversion
2026-04-11 00:29:04 [INFO    ] src.backtesting.scalping_engine MTF pre-computed: M5=13423, M15=4483, H1=13306 bars
2026-04-11 00:29:04 [INFO    ] src.backtesting.scalping_engine Scalping backtest: US30 on M5 (13423 M5 bars, 1 strategies)
2026-04-11 00:30:33 [INFO    ] src.backtesting.scalping_engine   Bar 10000/13423 (74%)
2026-04-11 00:31:05 [INFO    ] src.backtesting.scalping_engine Scalping backtest done: 39 trades, -33.23% return, 45.61% DD, 0.0% WR
2026-04-11 00:31:05 [INFO    ] src.analysis.news_filter       Loaded 64 default news events (FOMC + NFP + CPI)
2026-04-11 00:31:05 [INFO    ] backtest_scalping              Running strategy: m5_dual_supertrend
2026-04-11 00:31:05 [INFO    ] src.backtesting.scalping_engine MTF pre-computed: M5=13423, M15=4483, H1=13306 bars
2026-04-11 00:31:05 [INFO    ] src.backtesting.scalping_engine Scalping backtest: US30 on M5 (13423 M5 bars, 1 strategies)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48803.00000 (fast_dir=-1, slow_dir=-1, ADX=43.7, SL=48848.57181, TP=48676.75783)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48765.00000 (fast_dir=-1, slow_dir=-1, ADX=44.6, SL=48848.57181, TP=48627.78204)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48802.00000 (fast_dir=-1, slow_dir=-1, ADX=45.1, SL=48848.57181, TP=48658.90384)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48805.00000 (fast_dir=-1, slow_dir=-1, ADX=45.2, SL=48848.57181, TP=48661.01345)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48823.00000 (fast_dir=-1, slow_dir=-1, ADX=44.6, SL=48848.57181, TP=48683.41211)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48808.00000 (fast_dir=-1, slow_dir=-1, ADX=43.5, SL=48848.57181, TP=48668.77090)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48757.00000 (fast_dir=-1, slow_dir=-1, ADX=43.8, SL=48848.57181, TP=48609.29381)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48780.00000 (fast_dir=-1, slow_dir=-1, ADX=44.1, SL=48845.23331, TP=48634.66443)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48792.00000 (fast_dir=-1, slow_dir=-1, ADX=43.9, SL=48845.23331, TP=48651.59798)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48806.00000 (fast_dir=-1, slow_dir=-1, ADX=42.7, SL=48845.23331, TP=48666.83819)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 48830.00000 (fast_dir=-1, slow_dir=-1, ADX=40.5, SL=48845.23331, TP=48690.35437)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49527.00000 (fast_dir=1, slow_dir=1, ADX=28.8, SL=49281.72598, TP=49840.93687)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49510.00000 (fast_dir=1, slow_dir=1, ADX=31.7, SL=49300.62227, TP=49893.92425)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49530.00000 (fast_dir=1, slow_dir=1, ADX=34.1, SL=49317.53337, TP=49889.93182)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49540.00000 (fast_dir=1, slow_dir=1, ADX=36.4, SL=49365.60003, TP=49871.13864)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49538.00000 (fast_dir=1, slow_dir=1, ADX=38.6, SL=49392.15717, TP=49842.82478)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49533.00000 (fast_dir=1, slow_dir=1, ADX=40.4, SL=49399.99186, TP=49815.34230)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49534.00000 (fast_dir=1, slow_dir=1, ADX=42.0, SL=49408.70731, TP=49793.70807)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49545.00000 (fast_dir=1, slow_dir=1, ADX=43.5, SL=49428.82055, TP=49785.53726)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49533.00000 (fast_dir=1, slow_dir=1, ADX=44.4, SL=49428.82055, TP=49765.88354)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49534.00000 (fast_dir=1, slow_dir=1, ADX=45.1, SL=49428.82055, TP=49755.19518)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49560.00000 (fast_dir=1, slow_dir=1, ADX=46.0, SL=49449.72227, TP=49773.07566)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49556.00000 (fast_dir=1, slow_dir=1, ADX=46.9, SL=49480.11909, TP=49757.76810)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49553.00000 (fast_dir=1, slow_dir=1, ADX=47.7, SL=49480.11909, TP=49740.99129)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49530.00000 (fast_dir=1, slow_dir=1, ADX=47.4, SL=49480.11909, TP=49730.39216)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49578.00000 (fast_dir=1, slow_dir=1, ADX=46.7, SL=49480.11909, TP=49795.15294)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49575.00000 (fast_dir=1, slow_dir=1, ADX=46.1, SL=49488.94017, TP=49782.43765)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49530.00000 (fast_dir=1, slow_dir=1, ADX=44.5, SL=49488.94017, TP=49739.49388)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49508.00000 (fast_dir=1, slow_dir=1, ADX=42.2, SL=49488.94017, TP=49714.14450)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49535.00000 (fast_dir=1, slow_dir=1, ADX=40.1, SL=49488.94017, TP=49734.93005)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49530.00000 (fast_dir=1, slow_dir=1, ADX=38.3, SL=49488.94017, TP=49722.73704)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49527.00000 (fast_dir=1, slow_dir=1, ADX=36.7, SL=49488.94017, TP=49710.46334)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49508.00000 (fast_dir=1, slow_dir=1, ADX=34.8, SL=49488.94017, TP=49685.51700)
2026-04-11 00:31:06 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49503.00000 (fast_dir=1, slow_dir=1, ADX=32.9, SL=49488.94017, TP=49671.16530)
2026-04-11 00:31:07 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49539.00000 (fast_dir=1, slow_dir=1, ADX=31.4, SL=49488.94017, TP=49706.74877)
2026-04-11 00:31:07 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49535.00000 (fast_dir=1, slow_dir=1, ADX=30.6, SL=49488.94017, TP=49699.97390)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49530.00000 (fast_dir=1, slow_dir=1, ADX=27.5, SL=49485.61096, TP=49579.64465)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49536.00000 (fast_dir=1, slow_dir=1, ADX=27.8, SL=49502.59511, TP=49585.78019)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49543.00000 (fast_dir=1, slow_dir=1, ADX=28.1, SL=49503.72438, TP=49591.70217)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49549.00000 (fast_dir=1, slow_dir=1, ADX=28.7, SL=49515.62090, TP=49595.23195)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49550.00000 (fast_dir=1, slow_dir=1, ADX=29.6, SL=49520.53220, TP=49595.20876)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49545.00000 (fast_dir=1, slow_dir=1, ADX=29.9, SL=49520.53220, TP=49588.68788)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49540.00000 (fast_dir=1, slow_dir=1, ADX=30.5, SL=49520.53220, TP=49600.02546)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49523.00000 (fast_dir=1, slow_dir=1, ADX=29.3, SL=49520.53220, TP=49570.71718)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49641.00000 (fast_dir=1, slow_dir=1, ADX=27.6, SL=49497.84401, TP=49783.13710)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49697.00000 (fast_dir=1, slow_dir=1, ADX=29.7, SL=49568.08058, TP=49862.72339)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49712.00000 (fast_dir=1, slow_dir=1, ADX=30.9, SL=49568.08058, TP=49951.66807)
2026-04-11 00:31:08 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49610.00000 (fast_dir=1, slow_dir=1, ADX=32.2, SL=49568.08058, TP=49877.30126)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49475.00000 (fast_dir=1, slow_dir=1, ADX=21.3, SL=49426.43186, TP=49549.79576)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49469.00000 (fast_dir=1, slow_dir=1, ADX=21.3, SL=49426.43186, TP=49539.91618)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49474.00000 (fast_dir=1, slow_dir=1, ADX=20.8, SL=49426.43186, TP=49542.62457)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49482.00000 (fast_dir=1, slow_dir=1, ADX=20.8, SL=49428.68887, TP=49549.76211)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49487.00000 (fast_dir=1, slow_dir=1, ADX=21.1, SL=49437.51903, TP=49554.28590)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49516.00000 (fast_dir=1, slow_dir=1, ADX=22.4, SL=49455.37345, TP=49586.45731)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49497.00000 (fast_dir=1, slow_dir=1, ADX=23.5, SL=49455.37345, TP=49570.01158)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49493.00000 (fast_dir=1, slow_dir=1, ADX=24.1, SL=49455.37345, TP=49564.11042)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49477.00000 (fast_dir=1, slow_dir=1, ADX=24.3, SL=49455.37345, TP=49546.39938)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49495.00000 (fast_dir=1, slow_dir=1, ADX=24.8, SL=49455.37345, TP=49564.05944)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49489.00000 (fast_dir=1, slow_dir=1, ADX=25.2, SL=49455.37345, TP=49554.45350)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49493.00000 (fast_dir=1, slow_dir=1, ADX=25.4, SL=49455.37345, TP=49555.50815)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49479.00000 (fast_dir=1, slow_dir=1, ADX=25.0, SL=49455.37345, TP=49540.95733)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49481.00000 (fast_dir=1, slow_dir=1, ADX=23.8, SL=49455.37345, TP=49541.26160)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49491.00000 (fast_dir=1, slow_dir=1, ADX=23.3, SL=49455.37345, TP=49551.23544)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49492.00000 (fast_dir=1, slow_dir=1, ADX=22.9, SL=49455.37345, TP=49549.21189)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49489.00000 (fast_dir=1, slow_dir=1, ADX=22.7, SL=49455.58214, TP=49544.99071)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49499.00000 (fast_dir=1, slow_dir=1, ADX=21.9, SL=49455.58214, TP=49556.89163)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49496.00000 (fast_dir=1, slow_dir=1, ADX=21.8, SL=49466.65219, TP=49552.90247)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49502.00000 (fast_dir=1, slow_dir=1, ADX=21.7, SL=49466.65219, TP=49557.11222)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49501.00000 (fast_dir=1, slow_dir=1, ADX=20.7, SL=49466.65219, TP=49558.40100)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49520.00000 (fast_dir=1, slow_dir=1, ADX=20.4, SL=49474.58563, TP=49577.36090)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49528.00000 (fast_dir=1, slow_dir=1, ADX=21.3, SL=49492.28769, TP=49587.12481)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49536.00000 (fast_dir=1, slow_dir=1, ADX=22.5, SL=49502.10373, TP=49597.91233)
2026-04-11 00:31:10 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49526.00000 (fast_dir=1, slow_dir=1, ADX=22.9, SL=49502.10373, TP=49586.82110)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49552.00000 (fast_dir=1, slow_dir=1, ADX=27.3, SL=49533.20327, TP=49615.60062)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49568.00000 (fast_dir=1, slow_dir=1, ADX=27.1, SL=49533.20327, TP=49636.04056)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49565.00000 (fast_dir=1, slow_dir=1, ADX=27.2, SL=49533.20327, TP=49634.33651)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49587.00000 (fast_dir=1, slow_dir=1, ADX=27.7, SL=49533.20327, TP=49656.30285)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49555.00000 (fast_dir=1, slow_dir=1, ADX=26.8, SL=49533.20327, TP=49627.57257)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49551.00000 (fast_dir=1, slow_dir=1, ADX=25.0, SL=49533.20327, TP=49626.81531)
2026-04-11 00:31:12 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49538.00000 (fast_dir=1, slow_dir=1, ADX=23.4, SL=49533.20327, TP=49615.53378)
2026-04-11 00:31:13 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 49194.00000 (fast_dir=-1, slow_dir=-1, ADX=49.8, SL=49265.64983, TP=49079.76290)
2026-04-11 00:31:13 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 49205.00000 (fast_dir=-1, slow_dir=-1, ADX=47.1, SL=49264.05700, TP=49091.38661)
2026-04-11 00:31:13 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 49217.00000 (fast_dir=-1, slow_dir=-1, ADX=44.9, SL=49264.05700, TP=49105.94795)
2026-04-11 00:31:13 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 49210.00000 (fast_dir=-1, slow_dir=-1, ADX=42.4, SL=49264.05700, TP=49100.05315)
2026-04-11 00:31:13 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: SELL @ 49231.00000 (fast_dir=-1, slow_dir=-1, ADX=40.6, SL=49264.05700, TP=49116.44784)
2026-04-11 00:31:14 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49885.00000 (fast_dir=1, slow_dir=1, ADX=58.7, SL=49710.71261, TP=50222.44505)
2026-04-11 00:31:14 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49892.00000 (fast_dir=1, slow_dir=1, ADX=58.6, SL=49732.89652, TP=50200.50055)
2026-04-11 00:31:14 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49883.00000 (fast_dir=1, slow_dir=1, ADX=58.0, SL=49740.41130, TP=50180.25049)
2026-04-11 00:31:14 [INFO    ] src.analysis.strategies.m5_dual_supertrend Dual ST [US30]: BUY @ 49875.00000 (fast_dir=1, slow_dir=1, ADX=57.3, SL=49740.41130, TP=50159.72544)
