strategy,capital,risk_pct,profit_growth,final_equity,return_pct,profit_factor,max_drawdown_pct,total_trades,win_rate,sharpe,avg_pnl,is_10x,is_5x_safe,return_dd_ratio
m5_dual_supertrend,50.0,2.0,1.0,2060.042704346206,4020.085408692412,1.162855379912268,105.84445200160151,5883,35.424103348631654,-0.019995542825640197,0.3416696760744869,True,False,37.98
m5_dual_supertrend,50.0,2.0,0.75,2062.7712093528335,4025.542418705667,1.1662863682915838,106.17555283710018,5883,35.458099609043,-0.04429531090645054,0.34213347090818175,True,False,37.91
m5_dual_supertrend,50.0,1.5,1.0,1860.2440528901395,3620.4881057802795,1.156898729727829,100.9190190514061,5763,35.380878014922786,0.0789915717651627,0.31411487990458803,True,False,35.88
m5_dual_supertrend,50.0,1.5,0.75,1730.4104590116576,3360.8209180233152,1.15372790773408,99.48580315002438,5749,35.34527743955471,0.12813679046545495,0.292296131329215,True,False,33.78
m5_dual_supertrend,50.0,2.0,0.5,1802.5168823095464,3505.0337646190924,1.1537882806475932,105.94931412338173,5851,35.27602119295847,-0.05751762070389466,0.29952433469655554,True,False,33.08
m5_dual_supertrend,50.0,1.0,1.0,1465.3252856544282,2830.6505713088563,1.1554432873104195,93.47618412117409,5602,35.39807211710104,0.13167569678691773,0.25264642728568865,True,False,30.28
m5_dual_supertrend,50.0,1.5,0.5,1478.6424745575648,2857.2849491151296,1.147996816909181,100.23550078658816,5733,35.39159253444968,-0.016674523517138926,0.24919631511557064,True,False,28.51
m5_dual_supertrend,50.0,1.0,0.75,1250.961756022098,2401.923512044196,1.1453574037505516,92.65813673247852,5643,35.4775828460039,0.1293609892383648,0.21282327769308843,True,False,25.92
m5_dual_supertrend,100.0,2.0,0.75,2069.422381592829,1969.422381592829,1.1575878254504035,103.55544349818695,5947,35.211030771817725,0.03570419795357602,0.3311623308546878,True,False,19.02
m5_dual_supertrend,100.0,1.0,1.0,1783.1968974297495,1683.1968974297497,1.1478709319505063,89.13944970600305,6016,35.07313829787234,0.12276568930791233,0.2797867183227639,True,False,18.88
m5_dual_supertrend,100.0,2.0,1.0,2059.713952507022,1959.713952507022,1.1544994714500298,103.82670802459974,5951,35.18736346832465,0.07736139854920568,0.3293083435568849,True,False,18.87
m5_dual_supertrend,100.0,1.5,0.75,2069.201568600496,1969.201568600496,1.1641243824478014,110.22848731268584,5941,35.179262750378726,0.06839447217405968,0.33145961430743925,True,False,17.86
m5_dual_supertrend,100.0,1.5,1.0,2063.4486974590127,1963.448697459013,1.159705398500596,112.22356988459912,5926,35.167060411744856,0.029652718665897207,0.33132782609838207,True,False,17.5
m5_dual_supertrend,100.0,2.0,0.5,2059.9209297491984,1959.9209297491984,1.163125772717492,112.39756114429358,5913,35.14290546254016,0.034732827468983665,0.3314596532638591,True,False,17.44
m5_dual_supertrend,100.0,1.0,0.75,1494.1886142468798,1394.1886142468798,1.1352853048193319,90.47985348546021,5971,35.036007368949925,0.11862526767617905,0.2334933200882398,True,False,15.41
m5_dual_supertrend,100.0,1.5,0.5,1733.7270802682795,1633.7270802682795,1.147630410991673,111.76751117097692,5902,35.03896984073195,0.04554760100672717,0.2768090613805965,True,False,14.62
m5_dual_supertrend,200.0,0.5,1.0,1760.2729256731589,780.1364628365794,1.1436005846719945,57.00074693494217,6462,35.42246982358403,0.12822940782048328,0.24145356324251924,False,False,13.69
m5_dual_supertrend,200.0,0.5,0.75,1631.3952971872284,715.6976485936142,1.1420079573885744,54.36984582723525,6537,35.52088113813676,0.1296450336776883,0.21896822658516588,False,False,13.16
m5_dual_supertrend,50.0,1.0,0.5,585.3808012025224,1070.7616024050449,1.0974732265605325,91.63072711831349,5702,35.075412136092595,0.11165836028536055,0.09389351125964977,True,False,11.69
m5_dual_supertrend,100.0,0.5,1.0,936.1328609281684,836.1328609281683,1.1015511225061974,71.6665030915575,6333,35.13342807516185,0.12051201412692822,0.13202792687954654,False,False,11.67
m5_dual_supertrend,100.0,0.5,0.5,728.3006211087717,628.3006211087717,1.1149748733003773,54.843462547029276,6561,35.45191281816796,0.12447431051326019,0.09576293569711516,False,False,11.46
m5_dual_supertrend,100.0,1.0,0.5,1107.1134725489871,1007.1134725489871,1.1126566921835177,88.3994437736609,6030,34.875621890547265,0.11182406346694747,0.16701715962669747,True,False,11.39
m5_dual_supertrend,100.0,0.5,0.75,792.3988179956208,692.3988179956208,1.1022599481071413,66.1822502911918,6454,35.15649209792377,0.11774729246769246,0.10728212240403175,False,False,10.46
m5_dual_supertrend,200.0,1.5,1.0,2070.9589770129273,935.4794885064637,1.1469483919674597,91.54017696536799,6083,34.88410323853362,0.10839575428241675,0.30757175357766364,True,False,10.22
m5_dual_supertrend,200.0,2.0,0.5,2068.350836858696,934.175418429348,1.1488662476803753,91.55629871637568,6087,34.86117956300312,0.10831454292217621,0.30694115933279026,True,False,10.2
m5_dual_supertrend,200.0,2.0,0.75,2065.561521338166,932.7807606690831,1.1452561588243515,91.66574002271368,6088,34.855453350854134,0.10815788235316161,0.30643257577827954,True,False,10.18
m5_dual_supertrend,200.0,2.0,1.0,2045.7992309425908,922.8996154712954,1.1419960503492421,91.7774706581514,6087,34.86117956300312,0.10784420121146227,0.3032362791100036,True,False,10.06
m5_dual_supertrend,50.0,0.5,1.0,420.3872109426266,740.7744218852532,1.0769845912827227,74.36189762089535,6165,35.16626115166261,0.11061137063609078,0.060079028538950106,False,False,9.96
m5_dual_supertrend,200.0,0.5,0.5,1260.5326569013012,530.2663284506506,1.1266889880103363,53.75671419953451,6567,35.37383889142683,0.12230404504320852,0.16149423738408755,False,False,9.86
m5_dual_supertrend,200.0,1.5,0.75,2047.2440195722183,923.6220097861091,1.1477972264556824,96.85246660072372,6089,34.88257513549023,0.10831931670090367,0.303373956244411,True,False,9.54
m5_dual_supertrend,200.0,1.0,1.0,1998.6870753048227,899.3435376524113,1.1495211942365018,94.82443203018784,6075,34.94650205761317,0.10784140789145896,0.2960801770049091,False,False,9.48
m5_dual_supertrend,200.0,1.5,0.5,1978.64341053615,889.321705268075,1.1476317853076716,96.3151180097134,6085,34.88907148726376,0.1073918553726356,0.29229965662056706,False,False,9.23
m5_dual_supertrend,200.0,1.0,0.75,1897.959343842445,848.9796719212225,1.14664543711237,94.40741883730892,6082,34.90628082867478,0.10674766788849384,0.27917779412075705,False,False,8.99
m5_dual_supertrend,50.0,0.5,0.5,310.4245073530557,520.8490147061113,1.0951201950456035,58.07411785738824,6550,35.282442748091604,0.11343905871817765,0.039759466771458675,False,False,8.97
m5_dual_supertrend,50.0,0.5,0.75,319.6787604932872,539.3575209865744,1.07285719006448,71.51987445632811,6402,35.06716651046548,0.10553241307986155,0.04212414253253474,False,False,7.54
m5_dual_supertrend,200.0,1.0,0.5,1383.752445594649,591.8762227973245,1.111664137975143,93.84395604772774,6087,34.66403811401347,0.09868434783462592,0.1944722269746424,False,False,6.31
